period,ABBV,ABM,ABT,ADM,AWR,BDX,BKH,CBSH,CDUAF,CINF,CL,CWT,DOV,ED,EMR,FMCB,FRT,FUL,GPC,GRC,GWW,HRL,HTO,ITW,JNJ,KMB,KO,LOW,MO,MSA,MSEX,NDSN,NFG,NUE,NWN,PEP,PG,PH,PPG,RPM,SCL,SPGI,SWK,SYY,TGT,TNC,TR,UBSI,UVV,WMT
2013-09-30 00:00:00+00:00,27.5833541074,20.9296341568,26.3379474891,26.449126127,21.7778398506,81.5224291551,33.3418697386,19.465536322,19.9463047312,33.5222496293,44.9613432293,15.8754865153,48.8156192456,35.5183220778,46.9304748368,324.7359400514,66.8730241185,39.1861274207,58.0548732159,24.6581853373,215.6127531798,16.0939731152,21.5242331146,58.2291938223,62.5363978441,61.2621609545,26.1980568639,38.427830335,16.4439260088,42.2364358806,16.5329837872,64.9570243075,47.3820726,36.6927512705,26.939426452,56.2789073083,53.8000598319,89.1650083628,68.5481257417,28.1752498017,49.0676250461,58.0284234032,68.1032947483,23.0446584106,45.4857698873,53.2647020754,20.7864864242,18.2194844148,27.4746087086,19.4790365139
2013-10-31 00:00:00+00:00,30.1389649337,21.7504904418,29.1249852746,29.3639863896,22.5048214421,85.6873922923,33.9169601513,20.4430341515,21.3458424943,35.5765181075,49.344045504,17.0317719505,49.8807268235,37.5022979936,48.5770309091,320.0409626049,68.2902444424,41.6017005224,56.5764081544,25.0392440339,221.5939865606,16.6710610782,21.6855496368,60.1531163139,66.806965098,70.2219633102,27.3668719669,40.3299290398,17.8226307222,39.4130353034,16.0228496451,63.598422957,49.3046436086,38.7511981492,28.161487325,59.5282178057,57.9138919397,95.7260832976,74.9162983235,30.3305813345,50.0365682741,61.6469056675,59.4710122739,23.6209005464,46.0616291184,52.139270467,21.6393557286,18.596699413,28.8888744488,20.2138460309
2013-11-29 00:00:00+00:00,30.1389649337,21.9876822678,30.4318245592,29.0331575687,23.2226012464,88.5075043187,33.8654373812,21.1549170603,19.9620679009,37.254052228,50.167335619,17.9888748375,49.5124010351,35.9453139351,48.9040939025,325.5184362925,68.2375106629,44.5217279666,59.4543911139,25.9152198176,213.2165009998,17.2694700814,21.2331332207,60.7562507458,68.7589546878,70.9761992124,27.9893178797,38.4665534514,17.7029514936,41.0224428797,17.141344668,63.6248892171,46.5000328541,38.2197445914,27.5778967519,59.7901447957,60.4025755933,97.0197423377,75.7755931871,31.0199127284,54.0842694708,66.1596832558,61.2004765327,24.5631071545,45.7443328165,56.2206047333,21.6731672219,20.4010444879,28.4149291203,21.3358132503
2013-12-31 00:00:00+00:00,32.8511607461,22.7259943113,30.5433840103,31.3053177263,22.8644733999,90.5091026211,35.3744602523,21.056456675,19.548738411,37.5332086686,49.7099522218,18.1541269686,52.6771787076,35.9908885044,51.2328602789,331.2426279468,67.3610144611,45.225663154,60.0995438255,25.7411991473,211.1498087987,17.3270094087,23.034779266,64.5143600269,66.5289737995,68.4482222611,28.7693137997,40.1435914809,18.6092326502,42.1669871511,16.3302892333,65.7093540644,49.4594726887,40.2301000519,27.7659426032,59.117269386,58.3872438738,105.9115720835,78.0810551118,32.5160751858,55.9336685372,69.4454661826,61.0552845612,26.5789910601,45.2720778554,58.417395142,22.0589528061,19.9757982551,29.7441550991,20.846213067
2014-01-31 00:00:00+00:00,30.8700034898,21.191850589,29.3769648925,28.4777406413,22.6018463125,88.5676909711,36.9373767975,20.3812997476,19.7816000954,34.7237723886,46.923903069,18.3272482487,47.2315785056,35.4244617136,48.1375720545,331.2426279468,72.4026286979,40.4806185572,59.4204529348,24.509194402,193.8391949226,17.5066132629,22.1223576637,60.5167409053,64.2626740042,71.6655377053,26.338790799,37.6442453601,17.0726015614,41.4835542409,15.5192337986,61.3051470221,52.2026031067,36.4392157645,27.2506806807,57.2783188794,55.3690410243,93.339512804,75.0757208172,31.251139924,54.0246114364,67.5272793929,58.5658572938,25.8280057172,40.5280621105,55.247125062,20.5675669372,18.9849478488,28.2255403653,19.7839012816
2014-02-28 00:00:00+00:00,31.9234588191,22.439832788,31.8771321174,29.4590357659,24.074030996,94.3837343108,38.4786248161,20.9392419307,20.6367222335,33.5985644908,48.1500707142,18.6379580894,51.4549197444,36.9203296526,47.9557900341,337.5974025837,73.9370330309,42.224933557,63.6394857025,24.3269721986,211.6571880503,18.2810035063,23.0331827199,63.3020302357,67.3965067679,72.3076902787,26.6034322718,40.6857117167,17.5767328965,42.6062295358,15.9126922387,64.8680132252,52.0363527784,37.8636235783,28.1096410198,57.0716151403,56.8432363218,99.667807712,81.7060186125,32.9763730078,51.9640797455,71.0068044594,62.833446895,26.5200902489,45.0929815216,52.9312345442,20.3746313556,18.6927740111,31.7069836723,19.7891995947
2014-03-31 00:00:00+00:00,32.2307166235,22.8452282794,30.8594358432,31.4834374848,25.8857962325,96.3612598942,39.1164295653,21.8758050656,21.3701854917,35.2006910557,49.7134344617,18.9788480077,53.9197323877,35.3394413178,49.0874467403,337.5974025837,76.7441236276,42.0507382865,63.1555085008,24.5509347998,209.6984751502,18.9821926818,23.0098303887,62.7325714454,71.8666832372,72.8007379428,27.1372464149,39.7667659993,18.3848619079,47.2022368035,17.1803535204,62.5006322067,48.7813750209,38.3705169568,28.8571332233,59.9328382649,58.2451671438,98.9733161444,79.9051984672,32.9606174545,55.177647835,68.0117898601,61.8474223864,26.6010788643,43.6292982391,56.6984592033,20.9627650442,19.6536745586,30.7389994353,20.3778174624
2014-04-30 00:00:00+00:00,32.9523366554,21.6494269675,31.2282277391,31.7301387695,24.3385807872,93.0279570024,39.1842811344,20.4903059943,21.7926603285,35.2440951137,51.8530480033,17.8372631651,56.98672634,38.2245625288,50.1015287239,333.6256684357,78.6306162063,40.4539562281,63.3518468692,23.9794440244,211.1426109325,18.4505056147,21.1961326619,65.7407729533,74.105429554,74.1213862502,28.6323921692,37.4791855081,19.7012239146,43.6827717787,16.0071763094,65.9231380986,51.2886986942,39.2891620997,29.3262652632,61.6482811805,60.1320934925,104.9012977395,79.9712836101,33.7955731809,49.4257028237,65.8992349195,65.3874336382,27.0395944974,44.5233707861,55.1172616973,19.7374865262,18.7743298771,30.2991165985,21.2523332452
2014-05-30 00:00:00+00:00,34.3759687113,21.7932769805,32.2519719112,32.7847231435,24.4457219163,96.8715432999,39.4022207131,20.4573179212,21.2851419229,35.4611154038,52.7005718191,17.6236440713,57.7496108808,36.6510169803,49.3493136439,353.4843391759,79.9551748254,41.7637109085,62.7773753469,24.5582220127,215.3555261615,19.0385695386,21.197385886,66.7589334636,74.7444721688,74.1874186655,28.7166257328,38.4343292033,20.4134347019,45.5350350594,16.2688571548,72.4720141157,52.2359098596,38.4388459344,29.9887063128,63.3996120233,58.8500524925,103.9382625721,83.5556566405,34.1203782677,45.8866836997,73.1623733747,66.5369856791,27.8560521956,41.2273531119,55.3927338283,20.3746313556,19.4482801804,29.7327779705,20.5944929227
2014-06-30 00:00:00+00:00,35.7110192171,21.5615186261,32.9693989295,32.1792198011,26.8273229616,97.8121464881,41.9438586713,22.0260750994,22.1352661777,35.0683073327,52.531067056,19.3332813475,60.2469271577,38.4699094791,49.0756849005,349.4409513331,81.4162164664,41.999466751,64.2757045806,27.3927566253,211.9381106053,19.0927333211,21.3228142048,67.8605041344,77.0724096028,73.9952273359,29.9588172482,39.177218744,20.8396188955,47.8842629933,16.8331409155,71.2721463323,54.8067136849,37.6686619246,31.2340954859,64.6049505188,57.2475012426,104.3532520417,87.0949915331,36.5841436824,45.320816524,74.289737817,67.2387670802,27.796673454,42.0917038906,66.1488569203,20.6702226217,20.9622580831,30.7321990787,20.1384470979
2014-07-31 00:00:00+00:00,33.3699215768,19.7795692439,34.1337007894,33.8498254085,24.6636989611,96.1089087724,36.0133701021,21.3439772898,21.2900477362,33.5937448678,49.1013996028,18.190860177,56.8089771637,37.3705788479,47.0715392393,357.6503562421,82.2107180826,39.0868271405,60.6299983299,22.4439379984,196.0012848894,17.5834435645,21.0170826776,63.8381649789,73.7352081547,69.1052352399,27.7875809651,39.2517568275,20.1737846246,43.1358235524,16.1496422758,66.8104157601,48.2341077909,38.4105624742,28.9254017136,63.7082621525,56.7702435026,95.4060790758,82.2087200595,35.1852395538,41.2568613533,71.7755361638,66.9554791751,26.6971298024,43.2829100059,63.2279757905,18.4866495119,20.8001620571,29.1019812766,19.7387363456
2014-08-29 00:00:00+00:00,35.244349728,21.3789736647,34.2309478002,36.5496561799,26.2559155081,96.8778461877,36.9868744961,21.8508138566,21.4814797165,35.1048064036,50.1314447364,19.5979471666,58.4697604138,39.0035270966,47.6680612774,358.4972489882,84.0151793804,41.1790447635,64.2317804089,24.1025000468,206.162546459,19.6891056087,21.5885657597,68.3642653004,76.9355897953,71.8529450843,29.5061816712,43.0743939605,21.406074917,46.3767521618,16.4689591925,72.2426194551,53.5047917506,41.5464307766,30.4245433109,66.8828282235,61.0214037442,96.261268059,85.6067292136,37.5346387544,41.5490662173,72.8664167063,70.0563332707,28.297910351,44.0190605481,60.5751367385,19.834707509,21.3642562276,29.5671198181,20.3848217513
2014-09-30 00:00:00+00:00,36.8255000053,20.7721644498,33.7041931584,37.4586327876,24.7277074228,94.5410194114,32.9598278592,21.2505026598,20.8025529941,34.6610520555,50.5109350488,18.0532813801,53.4525532496,38.1748116306,46.59586496,362.5741943738,80.3425114538,34.7535730678,64.6318650256,23.3335192203,210.7262583932,19.9649395665,21.2174382576,65.7976086555,79.0568255691,72.1258240785,30.3903501749,43.4107204035,23.1020191603,41.3838792774,15.7229225608,67.7954115711,49.2602798556,41.7939622277,28.2762198611,67.792099932,61.4839652213,95.1361363545,81.814183938,36.4594899677,38.1848738605,75.8482545402,68.3684601466,28.3876737462,45.9316583179,58.3151947738,19.6521579885,20.2503533099,24.8765058515,20.6467194612
2014-10-31 00:00:00+00:00,40.7687282015,22.3488760371,35.5120612857,34.4531456168,29.0847262192,106.9100184364,37.6752585366,21.5432355333,20.9216629454,37.1805164132,52.0900663864,20.9414845955,52.8603364888,42.6889527871,47.6978445084,373.854280421,89.3900304712,36.8581559302,71.5364434692,24.6539913466,206.6649734609,21.0279669219,25.2366701419,70.9650825406,79.9394376568,76.618182741,29.8346897638,47.1233972585,24.3089161125,48.1443631998,18.0893828442,68.223199103,48.7253775455,41.6245688656,31.7253012747,70.0350870175,64.5653798734,105.8707262471,84.7043363136,36.303677322,38.0988331353,81.2640624133,72.1029688943,29.0550286343,45.3014536888,64.0867388683,20.8768075631,22.4436505485,25.2388234576,20.5927199334
2014-11-28 00:00:00+00:00,44.4562872919,21.9041625124,36.2615702644,38.7950422401,28.5329326656,116.5709626043,37.4460691533,21.5120682593,21.6335671177,37.5341254459,54.2007733228,20.2964327567,51.4776847779,42.9691244128,47.8153383086,372.2428395571,89.9733038111,37.9295628931,75.7366672823,24.3860745269,206.5992111429,20.7042197035,23.7837340603,73.9891849048,80.809093191,81.5238450418,32.1561525293,52.5854273953,25.2744336743,46.2640575877,17.828499919,69.6491575428,48.7535302986,41.2934818399,31.4413757146,72.8970802792,66.9032577283,108.0670400515,91.2919647174,38.227050955,35.7722236772,84.2142801915,72.7189703372,30.3517242558,54.6469604941,58.7964121254,20.5177123908,22.8495742165,22.6809112376,23.6355933259
2014-12-31 00:00:00+00:00,42.0407433581,23.2934739668,36.6770589374,38.2942710039,30.7982299853,116.0952576097,36.7735513404,21.8486653106,21.2132646757,38.5182123865,53.8892298636,19.9240211465,47.9540141872,44.9151528501,46.3002483732,378.2163322486,91.0934751159,39.1063541475,78.9659332492,25.024942933,214.3441587766,20.3219639516,25.5154822317,74.1816147165,78.0619572747,81.3813071122,30.284023194,56.6798904089,25.0332386041,44.7143422051,18.6535938354,69.6812423123,49.1985616007,38.0528431709,33.7330605926,69.3213737555,67.3915486727,108.0000373141,96.4360554082,40.639282053,34.6316600238,80.177473266,74.3851973946,30.1449711207,56.0574428528,62.9108534187,21.6373364387,24.7418733037,24.9438978802,23.3184303352
